Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
WVN-9400,Rượu Champagne Armand De Brignac Blanc,9.400.000,"Pháp
","12.5 %
","750 ML
",Chardonnay, Màu trắng,Rượu Champagne,Armand De Brignac,
VNHM-1350,Rượu Champagne Arnaud Tabourin,1.350.000,"Pháp
","12 %
","750 ML
",Chardonnay, ,Rượu Champagne,Arnaud Tabourin,
VNHM1-1750,Rượu Champagne Autreau Brut Premier Cru,1.750.000,"Pháp
","12 %
","750 ML
",Chardonnay,,Rượu Vang Trắng,,Champagne
VNHM1-1850,Rượu Champagne Autreau Reserve Brut Grand Cru,1.850.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Nero", ,Rượu Champagne,Autreau,
VNTK1-2760,Rượu Champagne Ayala Blanc De Blancs,2.760.000,"Pháp
","12 %
","750 ML
",Chardonnay,Vàng nhạt,Rượu Champagne,: Ayala,
VNTK-2294,Rượu Champagne Ayala Brut Majeur,2.294.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Vàng rơm,Rượu Champagne,: Ayala,
VNTK-2734,Rượu Champagne Ayala Brut Nature,2.734.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Vàng rơm,Rượu Champagne,: Ayala,
VNPE-1250,Rượu Champagne Bernard Lonclas Blanc,1.250.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunieur,Chardonnay", Vàng rơm,Rượu Champagne,,
VNWH1-4200,Rượu Champagne Billecart Salmon Blanc De Blancs,2.709.000,"Pháp
","12.5 %
","750 ML
",Chardnonnay,,Champagne, Champagne Billecart,
VNWH1-2750,Rượu Champagne Billecart Salmon Brut Réserve,1.895.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Champagne, Champagne Billecart,
VNWH-3900,Rượu Champagne Billecart Salmon Brut Sous Bois,3.900.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Champagne, Champagne Billecart,
VNDL-552,Rượu Champagne Bisol BelStar Cuvee Rose,495.000,"Ý
","11.5 %
","750 ML
","Merlot,Pinot Nero",,Rượu Vang Nổ, Bisol,Veneto 
VNTK1-3867,Rượu Champagne Bollinger La Cote Aux Enfants,3.867.000,"Pháp
","12.5 %
","750 ML
",Pinot Noir,,Rượu Champagne,Bollinger,
VNTK-4920,Rượu Champagne Bollinger La Grande Année,4.920.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",Vàng nhạt,Rượu Champagne,Bollinger,
VNTK-5960,Rượu Champagne Bollinger La Grande Année Rose,5.960.000,"Pháp
","14 %
","750 ML
","Pinot Noir,Chardonnay,Pinot Meunier",,Rượu Champagne,Bollinger,
VNTK-3880,Rượu Champagne Bollinger Rose,3.880.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,Bollinger,
VNTK-4134,Rượu Champagne Bollinger Rose Limited 2006,4.134.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,Bollinger,
VNTK-3294,Rượu Champagne Bollinger Special Cuvee,3.294.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",Vàng nhạt,Rượu Champagne,Bollinger,
VNPV-3958,Rượu Champagne Bottega Stardust Prosecco,3.563.000,"Ý
","11 %
","750 ML
",Glera, Màu vàng rơm nhạt,Rượu Champagne,Bottega,Veneto
VNPV - 11,Rượu Champagne Bottega Stella,1,"Ý
","11 %
","750 ML
","
", Vàng Rơm,Rượu Vang Nổ,Bottega,Veneto
VNTL-1528,Rượu Champagne Canard Duchene Brut,1.290.000,"Pháp
","12 %
","750 ML
","Pinot Meunier,Pinot Noir,Chardonnay", Màu vàng rơm,Rượu Champagne,Champagne Canard Duchene,
VNTL-1890,Rượu Champagne Canard Duchene Charles VII Blanc De Blanc,1.890.000,"Pháp
","12 %
","750 ML
",Chardonnay, Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNTL1-1890,Rượu Champagne Canard Duchene Charles VII Blanc De Noirs,1.750.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunier", Màu vàng óng,Rượu Champagne,Champagne Canard Duchene,
VNTL-2149,Rượu Champagne Canard Duchene Charles VII Smooth Rose,1.750.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu hồng nhạt,Rượu Champagne, ,
VNTL2-1528,Rượu Champagne Canard Duchene Cuvee Leonie,1.410.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meumier", Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNTL1-1528,Rượu Champagne Canard Duchene Demi Sec,1.290.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meuneir", Màu vàng nhạt,Rượu Champagne,Champagne Canard Duchene,
VNPV-9463,Rượu Champagne Carbon F1,8.517.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot meunier,Pinot Noir",Màu trắng,Rượu Champagne,,Champagne
VNDL-1453,Rượu Champagne Charles De Cazanove Brut Rose,1.439.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", ,Rượu Champagne,: Charles de Cazanove,
VNDL-1265,Rượu Champagne Charles De Cazanove Brut Tete De Cuvee,1.099.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Pinot Meunier,Chardonnay", Vàng nhạt,Rượu Champagne,: Charles De Cazanove,
VNMH-2300,Rượu Champagne Charles Heidsieck Blanc De Blancs,2.300.000,"Pháp
","12 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Champagne,Champagne Charles Heidsieck,
VNMH2-6000,Rượu Champagne Charles Heidsieck Blanc Des Millénaires,6.000.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Champagne,Champagne Charles Heidsieck,
VNPV1-1823,Rượu Champagne Charles Mignon Premium Reserve,1.641.000,"Pháp
","13.5 %
","750 ML
","Chardonnay,Pinot meunier,Pinot Noir",Màu vàng,Rượu Champagne,Charles Mignon,Champagne
VNDL-1353,Rượu Champagne Chateau De Bligny Grande Reserve,1.349.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay", Màu vàng ánh xanh lá,Rượu Champagne, Chateau de Bligny,
VNDL-1571,Rượu Champagne Chateau De Bligny Rose,1.539.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay", ,Rượu Champagne, Chateau De Bligny,
VNDL1-3800,Rượu Champagne Clos Du Chateau De Bligny Brut Nature,3.671.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Pinot Blanc,Pinot Meunier", Màu vàng nhạt,Rượu Champagne, Chateau de Bligny,
VNPV-7904,Rượu Champagne Comtes De Champagne Taittinger,7.114.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Màu vàng nhạt,Rượu Champagne,,
VNPV-9694,Rượu Champagne Comtes De Champagne Taittinger Rose,8.725.000,"Pháp
","13 %
","750 ML
",Chardonnay,Màu vàng sáng,Rượu Champagne,Taittinger,
VNDL-6177,Rượu Champagne Cuvee Amour De Deutz,6.177.000,"Pháp
","12 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Champagne,: Champagne Deutz,
VNDL-6765,Rượu Champagne Cuvee Amour De Deutz Rose,6.765.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay", ,Rượu Champagne,: Champagne Deutz,
VNDL-5295,Rượu Champagne Cuvee William Deutz,5.295.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", Vàng rơm,Rượu Champagne,: Champagne Deutz,
VNPV-836,Rượu Champagne De Castellane Brut,753.000,"Pháp
","11 %
","375 ML
",Chardonnay,Màu xanh nhạt,Rượu Champagne,De Castellane,Champagne
VNPV-4233,Rượu Champagne Delamotte Blanc De Blancs,3.810.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Màu trắng trong,Rượu Champagne,Delamotte,Champagne
VNPV-1956,Rượu Champagne Delamotte Brut,1.761.000,"Pháp
","12 %
","750 ML
",Chardonnay,Màu vàng,Rượu Champagne,Delamotte,Champagne
VNPV-3667,Rượu Champagne Delamotte Rose,2.956.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Màu hồng,Rượu Champagne,Delamotte,Champagne
VNDL-2942,Rượu Champagne Deutz Blanc De Blancs,2.942.000,"Pháp
","12 %
","750 ML
",Chardonnay, Trắng,Rượu Champagne,: Champagne Deutz,
VNDL-1664,Rượu Champagne DEUTZ Brut Classic,1.659.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunier,Chardonnay", Vàng nhạt,Rượu Champagne,: Champagne Deutz,
VNDL-2059,Rượu Champagne Deutz Brut Classic Rose,1.765.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", ,Rượu Champagne,: Champagne Deutz,
VNDL1-2059,Rượu Champagne Deutz Brut Vintage,1,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay,Pinot Meunier", Vàng chanh,Rượu Champagne,: Champagne Deutz,
RVPR-4950,Rượu Champagne Dom Perignon Vintage P2,1,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne,Dom Perignon,
VNDL-1500,Rượu Champagne Drappier Carte d’Or,1.500.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng nhạt ánh xanh,Rượu Champagne, Drappier,
VNDL-2089,Rượu Champagne Drappier Cuvee Charles De Gaulle,2.069.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne, Drappier,
VNDL-1853,Rượu Champagne Drappier Rose De Saignee,1.849.000,"Pháp
","12.5 %
","750 ML
",Pinot Noir, ,Rượu Champagne, Drappier,
VNRVPR9,Rượu Champagne Duval Leroy Brut Reserve,1,"Pháp
","13 %
","750 ML
","Pinot Noir,Meunier,,Chardonnay", Vàng nhạt,Rượu Champagne,: Duval – Leroy,
VNRVPR10,Rượu Champagne Duval Leroy Rose Prestige,1,"Pháp
","13 %
","750 ML
","Pinot Noir,Chardonnay", ,Rượu Champagne,: Duval – Leroy,
VNPV-1976,Rượu Champagne Duval Leroy Thierry Drapeau,1.779.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Màu vàng,Rượu Champagne,Champagne Duval Leroy, Champagne
VNVY-1330,Rượu Champagne Ferrari Maximum Brut Trentodoc,1.330.000,"Ý
","12.5 %
","375 ML
",Chardonnay, ,Rượu Vang Trắng,Ferrari,": Italy, Trentino-Alto Adige, Trento"
VNPV-4015,Rượu Champagne Frederic Savart L’Accomplie,3.614.000,"Pháp
","13 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,,Champagne
VNPV-3161,Rượu Champagne Frederic Savart L’Ouverture,2.845.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,,Champagne
VNMH-6700,Rượu Champagne Henri Giraud Aÿ Grand Cru Brut MV 12,6.000.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Champagne,: Henri Giraud,
VNMH-6000,Rượu Champagne Henri Giraud Aÿ Grand Cru Brut MV 14,6.000.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Champagne,: Henri Giraud,
VNMH2-1980,Rượu Champagne Henri Giraud Blanc De Craie,1.980.000,"Pháp
","12 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Champagne,: Henri Giraud,
,Rượu Champagne HOXXOH Blanc De Blancs,1,"Pháp
","12 %
","750 ML
",Chardonnay,,Rượu Champagne, HOXXOH,
VNPV-2280,Rượu Champagne JM Labruyere Prologue Grand Cru Brut,2.052.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir",,Rượu Champagne,Champagne Labruyere,Champagne
VNTK3-480,Rượu Champagne JP Chenet Brut Blanc,480.000,"Pháp
","13 %
","750 ML
",Chardonnay,Đỏ đậm,Rượu Vang Nổ,JP Chenet,
VNBMF-744,Rượu Champagne JP Chenet Divine Chardonnay,750.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
VNTK-480,Rượu Champagne JP Chenet Ice Edition White,480.000,"Pháp
","11 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Vang Nổ,JP Chenet,
VNMH1-2300,Rượu Champagne Lanson Extra Age Brut,2.300.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Meunier,Pinot Noir", Màu vàng rơm,Champagne, Champagne Lanson,
VNHM1-1350,Rượu Champagne Leglantier,1.350.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", ,Rượu Champagne,Le Glantier,
VNRVPR11,Rượu Champagne Louis Roederer Cristal,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir", Màu vàng nhạt,Rượu Champagne, Louis Roederer,
VNWH- 3200,Rượu Champagne Louis Roederer Vintage,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir", Màu vàng rơm,Rượu Champagne, Louis Roederer,
VNWH2-1200,Rượu Champagne Nicolas Feuillatte Brut Réserve,1.200.000,"Pháp
","11.5 %
","375 ML
","Chardonnay,Pinot Noir,Pinot Meunier",,Rượu Champagne,: Nicolas Feuillatte ,
VNWH1-2300,Rượu Champagne Nicolas Feuillatte Brut Réserve Gold,1.600.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",,Rượu Champagne,: Nicolas Feuillatte ,
VNWH5 - 2500,Rượu Champagne Nicolas Feuillatte Brut Rose,1,"Pháp
","12 %
","375 ML
","Chardonnay,Pinot Noir,Pinot Meunier", ,Rượu Champagne,: Nicolas Feuillatte ,
VNWH1- 5500,Rượu Champagne Nicolas Feuillatte Palmes d’Or,5.350.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir ",,Rượu Champagne,: Nicolas Feuillatte ,
VNWH2-2300,Rượu Champagne Nicolas Feuillatte Reserve Exclusive Blue,2.300.000,"Pháp
","11.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Vàng nhạt ánh xanh,Rượu Champagne,: Nicolas Feuillatte ,
VNQW-1397,Rượu Champagne Philippe Fourrier,1.397.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Pinot Meunier,Chardonnay",Vàng chanh,Champagne,Philippe Fourrier, Champagne
VNTBM-210,Rượu Champagne Pierlant Brut Rose,210.000,"Pháp
","11.5 %
","750 ML
",: , ,Rượu Vang Hồng,Pierlant,
VNTBM1-228,Rượu Champagne Pierlant Fantasia Night,228.000,"Pháp
","11 %
","750 ML
",Chardonnay, ,Rượu Vang Trắng,Pierlant,
VNTBM-228,Rượu Champagne Pierlant Fantasia Night Rose,228.000,"Pháp
","11 %
","750 ML
",Blend, ,Rượu Vang Hồng,Pierlant,
VNMH4-1490,Rượu Champagne Piper Heidsieck Brut,1.490.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Meunier,Chardonnay", Vàng kim,Rượu Champagne,: Piper Heidsieck,: Reims – Champagne
VNWH6- 2500,Rượu Champagne Pol Roger Brut Cuvée De Réserve,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",,Rượu Champagne,: Pol Roger ,
VNWH-3500,Rượu Champagne Pol Roger Brut Vintage 2012,3.300.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Trắng,Rượu Champagne,: Pol Roger ,
VNWH7-2500,Rượu Champagne Pol Roger Rich Demi Sec,2.400.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",,Rượu Champagne,: Pol Roger ,
VNWH-3950,Rượu Champagne Pol Roger Rosé,1,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", ,Rượu Champagne,: Pol Roger ,
VNMH-39000,Rượu Champagne Rare Le Secret,39.000.000,"Pháp
","12 %
","1500 ML
","Chardonnay,Pinot Noir", Vàng rơm,Rượu Champagne,: Piper Heidsieck,: Champagne
VNMH-6560,Rượu Champagne Rare Milésimé Piper Heidsieck,5.500.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng ánh xanh,Rượu Champagne,: Piper Heidsieck,: Reims – Champagne
VNMH-9450,Rượu Champagne Rare Rosé Millésimé Brut,9.450.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Hồng nhạt,Rượu Champagne,: Champagne Piper Heidsieck,: Reims – Champagne
VNPV-26420,Rượu Champagne Salon Le Mesnil Blanc De Blancs,23.778.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,,Rượu Champagne,,Champagne
VNDL-3800,Rượu Champagne Stradivarius De Charles De Cazanove,3.589.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", Màu vàng nhạt ánh xanh,Rượu Champagne, Charles de Cazanove,
VNPV-2840,Rượu Champagne Taittinge Prestige Rose,2.556.000,"Pháp
","12.5 %
","750 ML
",,,Rượu Champagne,Taittinger,
VNPV-3099,Rượu Champagne Taittinger Brut Millesime,2.790.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot noir",Màu trắng,Rượu Champagne,Taittinger,
VNPV-2309,Rượu Champagne Taittinger Brut Reserve,2.079.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot noir,Pinot meunier",Màu trắng,Rượu Champagne,Taittinger,
VNPV-2329,Rượu Champagne Taittinger Nocturne City Lights,2.097.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Màu vàng,Rượu Champagne,Taittinger,
VNPV-2709,Rượu Champagne Taittinger Nocturne Rose,2.439.000,"Pháp
","13 %
","750 ML
","Chardonnay,Pinot Meunier,Pinot Noir",Màu hồng,Rượu Champagne,Taittinger,
VNPV-3336,Rượu Champagne Taittinger Prelude Grands Crus Brut,3.003.000,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir",Màu vàng,Rượu Champagne,Taittinger,
VNVC-1914,Rượu Champagne Tribaut Schloesser Blanc De Chardonnay,1.914.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,,Rượu Champagne, Tribaut Schloesser,"Champagne, France"
VNVC1-1914,Rượu Champagne Tribaut Schloesser Blanc De Noirs Brut Nature,1.914.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay,Pinot Meunier",,Rượu Champagne, Tribaut Schloesser,"Champagne, France"
VNVC-1650,Rượu Champagne Tribaut Schloesser Brut Origine,1.650.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnoy,Pinot Meunier",,Rượu Vang Trắng, Tribaut Schloesser,Champagne – France
VNVC-1848,Rượu Champagne Tribaut Schloesser Brut Premier Cru,1.848.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay,Pinot Meunier",,Rượu Champagne, Tribaut Schloesser,"Champagne, France"
VNVC-2574,Rượu Champagne Tribaut Schloesser Cuvee Rene,2.574.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne, Tribaut Schloesser,"Champagne, France"
VNVC-4488,Rượu Champagne Tribaut Schloesser L’Authentique,4.488.000,"Pháp
","12.5 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne, Tribaut Schloesser,"Champagne, France"
VNHD7-1650,Rượu Champagne Victoire Blanc De Blancs,1.650.000,"Pháp
","12 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Champagne,Champagne GH Martel,
VNHD6-1650,Rượu Champagne Victoire Blanc De Noirs,1.650.000,"Pháp
","12 %
","750 ML
",Chardonnay,Vàng rơm,Rượu Champagne,Champagne GH Martel,
VNHD2-1850,Rượu Champagne Victoire Prestige Brut,1.850.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Blanc", Vàng rơm,Rượu Champagne,Champagne GH Martel,
VNTH1-2800,Rượu Champagne Victoire Rose,2.800.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Pinot Meunier,Chardonnay", hồng nhạt,Rượu Champagne,,: Champagne
VNTH-2500,Rượu Champagne Victoire Vintage Gold,2.500.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne,,: Champagne
VNHD2-4500,Rượu Champagne Vieille France,4.500.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir",Vàng rơm,Rượu Champagne,Charles de Cazanove,
VNTH2-1650,Rượu Champagne Vignier Brut,1.650.000,"Pháp
","12 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Champagne,,
VNHM2-1350,Rượu Champagne Vignier Brut Millesime,1.350.000,"Pháp
","12 %
","750 ML
",Chardonnay, ,Rượu Champagne,Vignier,
VNHM2-2650,Rượu Champagne Vignier I.D.05,2.650.000,"Pháp
","12 %
","750 ML
",Chardonnay, ,Rượu Champagne,Vignier,
VNPV1-3532,Rượu Champagne Vouette Et Sorbee Fidele,3.179.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Màu vàng,Rượu Champagne,Vouette et Sorbee,Champagne
VNTK2-2934,Rượu Champagne Vranken Diamant,2.934.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",Vàng nhạt,Rượu Champagne,: Vranken,
VNTK-3734,Rượu Champagne Vranken Diamant Blanc De Blancs,3.734.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,,Rượu Champagne,: Vranken,
VNTK-3400,Rượu Champagne Vranken Diamant Rose,3.400.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne,: Vranken,
VNTK2-2334,Rượu Gaja Grappa Di Barbaresco,2.334.000,"Ý
","42 %
","500 ML
",Nebbiolo,,Nebbiolo,Gaja, Barbaresco
VNPV-9506,Rượu Ponts des Arts Cognac XO Infinity Fine Champagne,8.556.000,"Pháp
","40 %
","750 ML
",,,,,
VNPV-864,Rượu Sâm Banh Anna De Codorniu,778.000,"Tây Ban Nha
","11.5 %
","750 ML
",Chardonnay, Trắng,Sâm banh,,: Cava
VNPV1-864,Rượu Sâm Banh ANNA De Codorniu Brut Rose,778.000,"Tây Ban Nha
","12 %
","750 ML
",Pinot Noir, Hồng,Sâm banh,,: Cava
VNTK-2760,Rượu Sâm Banh Ayala Rose Majeur,2.760.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",Hồng nhạt,Rượu Champagne,: Ayala,
VNWH1-3750,Rượu Sâm Banh Billecart Salmon Brut Rose,1,"Pháp
","12.5 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu hồng nhạt,Champagne, Champagne Billecart,
VNDL-1246,Rượu Sâm Banh Bisol Cru Cartizze Prosecco Dry,1.119.000,"Ý
","11.5 %
","750 ML
",Glera, Màu vàng nhạt ánh xanh,Rượu Sâm Banh, Bisol,Conegliano – Valdobbiadene Prosecco
VNTK-6934,Rượu Sâm Banh Bollinger RD 2004,6.934.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay",,Rượu Champagne,Bollinger,
VNPV-226,Rượu Sâm Banh Bottega Gold 200 ML,204.000,"Ý
","11 %
","200 ML
",Glera, Màu vàng rơm nhạt,Rượu Sâm Banh,Bottega,Veneto
VNPV1-1243,Rượu Sâm Banh Bottega Rose Gold,1.119.000,"Ý
","11.5 %
","750 ML
",Pinot noir, ,Rượu Sâm Banh,Bottega,Veneto
VNPV2-1243,Rượu Sâm Banh Bottega White Gold,1.119.000,"Ý
","12 %
","750 ML
",Pinot Nero,,Sâm Panh,Bottega,Veneto
VNTL-2322,Rượu Sâm Banh Canard Duchene Brut Millesime Vintage,1.450.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Rượu Champagne,Champagne Canard Duchene,
VNTL-2052,Rượu Sâm Banh Canard Duchene Charles VII Rose,1.750.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu hồng,Rượu Champagne,Champagne Canard Duchene,
VNTL1-1674,Rượu Sâm Banh Canard Duchene Cuvee Leonie,1.410.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu hồng,Rượu Champagne,Champagne Canard Duchene,
VNTL-1674,Rượu Sâm Banh Canard Duchene Rose,1.530.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meumier", Màu hồng,Rượu Champagne,Champagne Canard Duchene,
VNDL-1724,Rượu Sâm Banh Charles De Cazanove Millésimé Vintage,1.724.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", Màu vàng đậm ánh xanh,Rượu Champagne, Charles De Cazanove,
VNMH-1850,Rượu Sâm Banh Charles Heidsieck Rosé Réserve,1.760.000,"Pháp
","12 %
","750 ML
","Meunier,Chardonnay,Pinot Noir", ,Rượu Sâm Banh,Champagne Charles Heidsieck,
VNPV-580,Rượu Sâm Banh Codorniu Clasico Rosado Sparkling Brut,522.000,"Tây Ban Nha
","12 %
","750 ML
","Monastrell,Grenache", Sủi bọt hồng,Sâm banh,,: Cava
VNPV1-541,Rượu Sâm Banh Codorniu Clasico Sparkling Brut,487.000,"Tây Ban Nha
","11.5 %
","750 ML
",": Macabeo, Parellada, Xarello", Trắng,Sâm banh,,: Cava
VNDL-3030,Rượu Sâm Banh Drappier Grande Sendree,2.999.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", Màu vàng đậm,Rượu Champagne, Drappier,
VNMH4-530,Rượu Sâm Banh Freixenet Carta Nevada,525.000,"Tây Ban Nha
","11.5 %
","750 ML
",: Macabeo – Xarel-lo – Parellada, Vàng rơm,Rượu Vang Nổ,Freixenet,: Catalunya
VNMH9-650,Rượu Sâm Banh Freixenet Prosecco D.O.C,650.000,"Tây Ban Nha
","11 %
","750 ML
",Glera, Trắng,Rượu Vang Sủi,Freixenet,: Prosecco 
VNMH1-6000,Rượu Sâm Banh Henri Giraud Aÿ Grand Cru Brut MV 13,6.000.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir", Vàng nhạt,Rượu Sâm Banh,: Henri Giraud,
VNWH1 - 1800,Rượu Sâm Banh Jacques Picard Brut,1.700.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Vàng nhạt,Rượu Champagne,: Jacques Picard ,
VNWH4- 1000,Rượu Sâm Banh Jansz Tasmania Premium Rose,1,"ÚC
","12.5 %
","750 ML
","Pinot Noir,Chardonnay", Hồng nhạt,Rượu Vang Nổ,: Jansz,: Tasmaina
VNPV4-417,Rượu Sâm Banh Lindeman’s Premier Selection Brut Cuvee,376.000,"ÚC
","11.5 %
","750 ML
",Blend, Vàng nhạt,Rượu Sâm Banh,Lindeman’s,: South Eastern
VNWH-2500,Rượu Sâm Banh Louis Roederer Brut Premier,1,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier", Màu vàng rơm,Rượu Champagne, Louis Roederer,
VNWH-2300,Rượu Sâm Banh Nicolas Feuillatte Particulière,1,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Pinot Meunier",,Rượu Champagne,: Nicolas Feuillatte ,
